Table 4:Imports by Commodities and Partner Countries : 		Based on First Month (Shrawan) of FY 2079/80 (Mid July 2022 to Mid August 2022)				
				(Import Value and Imports Revenue are in Rs. Thousands)		
HSCode	Description	Partner Countries	Unit	Quantity	Imports_Value	Imports_Revenue
13012000	Natural gum arabic	India	Kg	4611	848	206
13019000	Natural gums, resins, gum-resins,natural o  eoresesins and balsams (excl gum arab	Greece	Kg	380	4288	1042
13019000	Natural gums, resins, gum-resins,natural o  eoresesins and balsams (excl gum arab	India	Kg	15776	4041	983
13019000	Natural gums, resins, gum-resins,natural o  eoresesins and balsams (excl gum arab	Indonesia	Kg	15525	3416	830
13021300	Hop saps and extracts	Germany	Kg	3332	28093	6827
13021300	Hop saps and extracts	United Kingdom	Kg	20	140	34
13021900	Other vegetable saps and extracts, nes	China	Kg	150	1149	279
13021900	Other vegetable saps and extracts, nes	India	Kg	5243	8664	1050
13023100	Agar-agar  .	India	Kg	50	156	37
13023200	Mucilages and thickeners of locust beans,   ean seeds and guar seeds.	India	Kg	5500	351	85
13023900	Mucilages and thickeners, derived from veg  table products, nes.	India	Kg	808	463	113
13023900	Mucilages and thickeners, derived from veg  table products, nes.	Pakistan	Kg	12500	3204	778
14019000	Vegetable materials for plaiting, (excl. b amboos and rattans)	India	Kg	2500	67	22
14019000	Vegetable materials for plaiting, (excl. b amboos and rattans)	Viet Nam	Kg	392312	17664	442
14049010	Semi processed catechu of acacia (liquid ka tha)	India	Kg	18850	2263	57
14049030	Bidi wraper leaves (tendu)	India	Kg	19887	1303	431
14049040	Heart leaf (Pan ko Pat)	India	Kg	10114	2139	700
14049050	Rudrakshya seeds	India	Kg	15	2	1
14049090	Other vegetable products	India	Kg	207220	10835	702
14049090	Other vegetable products	Viet Nam	Kg	346912	13334	334
15021000	Tallow .	India	Kg	700075	106061	19687
15043000	Marine mammal fats, oils and their liquid  fractions.	Australia	Kg	1	0	0
15071000	Crude soya-bean oil	Argentina	LTR	15818168	3635505	659126
15071000	Crude soya-bean oil	Brazil	LTR	3213426	748455	150922
15071000	Crude soya-bean oil	Italy	LTR	1428572	335560	81541
15071000	Crude soya-bean oil	Paraguay	LTR	600000	150316	36527
15071000	Crude soya-bean oil	United States	LTR	1626074	378233	48495
15071000	Crude soya-bean oil	Viet Nam	LTR	3332144	753829	152433
15079000	Soya-bean oil (excl. crude) and fractions	India	Kg	5	1	0
15092000	Extra virgin olive oil	India	Kg	20	27	6
15111000	Crude palm oil	Indonesia	LTR	21800071	4112828	363950
15111000	Crude palm oil	Philippines	LTR	224679	50840	12354
15119010	Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi	India	LTR	127970	26664	4973
15119010	Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi	Indonesia	LTR	22660	5799	1082
15119010	Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi	Malaysia	LTR	642910	148325	29424
15119020	Refined bleached deodorized palm olein	India	LTR	23470	5526	1608
15119020	Refined bleached deodorized palm olein	Indonesia	LTR	135000	24654	7384
15119020	Refined bleached deodorized palm olein	Malaysia	LTR	272560	62308	14224
15119030	Refined bleached deodorized palm stearin	Malaysia	LTR	26840	4617	1383
15119090	Palm oil (excl. crude) and its fractions,r efined or not but not chemically modifi	India	LTR	30370	4420	1324
15121100	Crude sunflower oil	Argentina	LTR	2020000	550985	133890
15121100	Crude sunflower oil	Ukraine	LTR	2803141	501018	101058
15121900	Sunflower-seed and safflower oil (excl. cr ude) and fractions thereof	India	LTR	1010	882	264
15131100	Crude coconut (copra) oil	Sri Lanka	LTR	3720	2957	585
15131900	Coconut (copra) oil (excl. crude) & its fr actions,refined or not but not chem. mo	India	LTR	3750	3018	640
15131900	Coconut (copra) oil (excl. crude) & its fr actions,refined or not but not chem. mo	Thailand	LTR	768	1264	379
15153000	Castor oil and its fractions .	India	LTR	3500	952	188
15155000	Sesame oil and its fractions  .	India	LTR	26	4	1
15159000	Other fixed vegetable fats and fractions,   es	China	LTR	2259	524	124
15159000	Other fixed vegetable fats and fractions,   es	India	LTR	46808	13536	3289
15162000	Vegetable fats and oils and their fraction s, hydrogenated, etc.	India	LTR	3609	995	298
15162000	Vegetable fats and oils and their fraction s, hydrogenated, etc.	Indonesia	LTR	45320	15818	4738
15162000	Vegetable fats and oils and their fraction s, hydrogenated, etc.	Malaysia	LTR	91440	33476	10026
15171000	Margarine (excl. liquid) .	India	Kg	3750	993	289
15179000	Edible preparations of fats and oils, nes	India	LTR	6200	810	236
15179000	Edible preparations of fats and oils, nes	Indonesia	LTR	266120	60285	18056
15180000	Animal, vegetable or microbial fats and oils and their fractions, boiled, oxidised, d	India	LTR	4020	923	269
15211000	Vegetable waxes (excl. triglycerides)	Germany	Kg	0	0	0
15219000	Beeswax, other insect waxes and spermaceti	India	Kg	125	3	1
16010000	Sausages and similar products, of meat,meat offal, blood or insects; food preparation	China	Kg	201	71	34
16010000	Sausages and similar products, of meat,meat offal, blood or insects; food preparation	Italy	Kg	696	1854	917
16024900	Other preparations of swine, including mix tures, nes	China	Kg	3202	1693	821
16041600	Prepared or preserved anchovies (excl. min ced)	Italy	Kg	6	26	13
16041600	Prepared or preserved anchovies (excl. min ced)	Morocco	Kg	17	34	17
17011200	Beet sugar (Cane sugar specified in Subhead ng Note 2 to this Chapter:	Indonesia	Kg	15	1	0
17011310	Sakhhar(Gud & Veli), Gudgatta of Chukandar	India	Kg	76520	2532	763
17011320	Khanda sugar	India	Kg	924	50	29
17011390	Other Sakhhar(Gud & Veli), Gudgatta Ã Ã Ã Ã 	India	Kg	237	13	7
17011410	Sakhhar (Gud & veli),Gudgatta of Sugarcane	India	Kg	412241	13962	3940
17011420	Khanda sugar	India	Kg	6658	334	195
17011490	Other Sugar	India	Kg	1319	86	26
17019100	Cane or beet sugar, containing added flavo uring or colouring	India	Kg	13	1	1
17019910	Cane or beet sugar, in solid form, nes	India	Kg	27760	1798	1047
17019920	Sugar Cube	India	Kg	165	13	8
17019990	Cane or beet sugar, in solid form, nes	India	Kg	8040	373	218
17021100	Lactose and lactose syrup containing by we ight>=99% lactose calculated on the dry	India	Kg	3280	1626	16
17021100	Lactose and lactose syrup containing by we ight>=99% lactose calculated on the dry	Netherlands	Kg	1	1	0
17021100	Lactose and lactose syrup containing by we ight>=99% lactose calculated on the dry	New Zealand	Kg	1	1	0
17023010	Liquid Glucose	India	Kg	333300	20987	3834
17023020	Solid Glucose	India	Kg	20000	1575	312
17023030	Dextrose (Not Containing fructose or containing in the dry state less than 25% )	China	Kg	24000	3084	31
17023030	Dextrose (Not Containing fructose or containing in the dry state less than 25% )	India	Kg	51357	7325	1037
17026000	Other fructose and fructose syrup, contain ing >50% fructose,excluding invert suga	India	Kg	100	34	8
17029020	Artificial Honey, Weather or not mixed with natural honey	Bulgaria	Kg	275	4185	1017
17029030	Caramal	India	Kg	15740	1362	280
17029090	Other Sugar and sugar syrup blends containing in the dry strait 50% by	India	Kg	40408	3228	665
17029090	Other Sugar and sugar syrup blends containing in the dry strait 50% by	United Kingdom	Kg	75	116	28
17031000	Cane molasses resulting from the extractio   or refining of sugar	India	Kg	225	4	2
17039000	Molasses resulting from the extraction or   efining of sugar (excl cane).	India	Kg	80	1	1
17041000	Chewing gum	India	Kg	159693	45845	36848
17049000	Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....	China	Kg	59460	15271	12512
17049000	Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....	India	Kg	89368	22384	18319
17049000	Strepsils	Malaysia	Kg	10865	2632	2157
17049000	Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....	Switzerland	Kg	427	671	550
17049000	Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....	Thailand	Kg	2079	521	427
17049000	Sugar confectionery (incl white chocolate )_  not containing cocoa, nes....	Turkey	Kg	11196	3790	3105
18050000	Cocoa powder, not containing added sugar o r other sweetening matter	Malaysia	Kg	15000	6515	1988
18061000	Cocoa powder, containing added sugar or ot  er sweetening matter	India	Kg	164	63	51
18061000	Cocoa powder, containing added sugar or ot  er sweetening matter	United States	Kg	2	4	3
18062000	Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg	Bahrain	Kg	5	1	1
18062000	Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg	India	Kg	68520	21129	16982
18062000	Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg	Kuwait	Kg	69	41	33
18062000	Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg	Qatar	Kg	7	4	3
18062000	Chocolate, etc, containing cocoa, in block  , slabs or bars >2kg	Saudi Arabia	Kg	85	33	27
18063100	Chocolate, etc, containing cocoa, in block  , slabs or bars, filled	India	Kg	3958	2706	2175
18063100	Chocolate, etc, containing cocoa, in block  , slabs or bars, filled	Ireland	Kg	6	18	14
18063200	Chocolate, etc, containing cocoa in blocks   slabs or bars, not filled	France	Kg	761	1411	1156
18063200	Chocolate, etc, containing cocoa in blocks   slabs or bars, not filled	Germany	Kg	720	1230	1008
18063200	Chocolate, etc, containing cocoa in blocks   slabs or bars, not filled	Hong Kong	Kg	2	1	1
18063200	Chocolate, etc, containing cocoa in blocks   slabs or bars, not filled	Italy	Kg	77	155	127
18063200	Chocolate, etc, containing cocoa in blocks   slabs or bars, not filled	Malaysia	Kg	2	2	2
18063200	Chocolate, etc, containing cocoa in blocks   slabs or bars, not filled	Switzerland	Kg	3183	5569	4563
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Australia	Kg	2	17	14
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Bahrain	Kg	12	3	2
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Belgium	Kg	6	6	5
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	China	Kg	21	10	8
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Hong Kong	Kg	97	41	34
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	India	Kg	30291	6150	6481
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Iraq	Kg	1	0	0
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Japan	Kg	40	10	8
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Kuwait	Kg	16	5	4
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Malaysia	Kg	4	2	2
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Oman	Kg	16	5	4
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Qatar	Kg	146	68	56
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Saudi Arabia	Kg	17	7	5
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Spain	Kg	3	2	1
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	United Arab Emirates	Kg	94	37	30
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	United Kingdom	Kg	6	3	3
18069010	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	United States	Kg	23	6	5
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Australia	Kg	22	22	17
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Bangladesh	Kg	14360	9094	7451
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Belgium	Kg	3	15	12
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Bulgaria	Kg	3	4	3
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	China	Kg	2547	1001	820
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Denmark	Kg	1	1	1
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	France	Kg	864	836	685
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Germany	Kg	54	97	80
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Hong Kong	Kg	9	2	1
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	India	Kg	69381	40199	32824
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Ireland	Kg	1	1	0
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Israel	Kg	55	35	29
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Italy	Kg	21	86	71
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Japan	Kg	12	6	5
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Kuwait	Kg	68	55	45
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Malaysia	Kg	102	130	107
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Mexico	Kg	2	4	3
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Netherlands	Kg	11202	7662	6278
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Poland	Kg	84	194	159
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Qatar	Kg	127	70	58
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Saudi Arabia	Kg	0	1	1
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Spain	Kg	8	8	6
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Switzerland	Kg	2	8	7
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Thailand	Kg	6222	2356	1930
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	Turkey	Kg	45199	15200	12453
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	United Arab Emirates	Kg	28	35	29
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	United Kingdom	Kg	9	20	17
18069090	Chocolate, etc, containing cocoa, not in b  ocks, slabs or bars, nes.	United States	Kg	5394	2612	2140
19011000	Preparations for infant use, for retail sa le, of flour, groats, meal, starch etc.	Australia	Kg	9	2	0
19011000	Preparations for infant use, for retail sa le, of flour, groats, meal, starch etc.	India	Kg	54030	56121	10465
19012000	Mixes and doughs for preparation of bakers ' wares of 19.05.	India	Kg	33745	9095	2113
19019010	Malt Extract	India	Kg	9780	814	244
19019090	Food prep's of goods of hdgs 0401-0404 or  of flour, meal, etc not cont'g cocoa	India	Kg	215613	97691	21070
19019090	Food prep's of goods of hdgs 0401-0404 or  of flour, meal, etc not cont'g cocoa	Oman	Kg	9	4	1
19019090	Food prep's of goods of hdgs 0401-0404 or  of flour, meal, etc not cont'g cocoa	Qatar	Kg	89	31	9
19019090	Food prep's of goods of hdgs 0401-0404 or  of flour, meal, etc not cont'g cocoa	Saudi Arabia	Kg	52	30	9
19021100	Uncooked pasta containing eggs not stuffed	Not_Specified	Kg	21600	3207	2282
19021900	Uncooked pasta, not containing eggs, not s tuffed	China	Kg	3658	444	323
19021900	Uncooked pasta, not containing eggs, not s tuffed	India	Kg	34582	5611	3915
19021900	Uncooked pasta, not containing eggs, not s tuffed	Italy	Kg	81	37	23
19021900	Uncooked pasta, not containing eggs, not s tuffed	Japan	Kg	6	3	2
19021900	Uncooked pasta, not containing eggs, not s tuffed	Korea, Republic of	Kg	31638	10544	6745
19021900	Uncooked pasta, not containing eggs, not s tuffed	Thailand	Kg	472	40	32
19021900	Uncooked pasta, not containing eggs, not s tuffed	Turkey	Kg	12000	1572	1146
19023000	Other pasta, nes .	India	Kg	1503	275	185
19023000	Other pasta, nes .	Italy	Kg	174	50	32
19023000	Other pasta, nes .	Korea, Republic of	Kg	12980	4164	2673
19023000	Other pasta, nes .	Singapore	Kg	1	2	1
19030000	Preparation from starch in a form of flake s grains, pearls, siftings etc+	China	Kg	8224	710	132
19030000	Preparation from starch in a form of flake s grains, pearls, siftings etc+	India	Kg	34242	3675	679
19041010	Prepared foods obtained by the swelling or  roasting of cereals.	India	Kg	46926	19209	4072
19041010	Prepared foods obtained by the swelling or  roasting of cereals.	United States	Kg	1	4	1
19041091	Corn Flakes	India	Kg	40931	12858	2892
19041091	Corn Flakes	United Kingdom	Kg	2791	1588	476
19041099	Other Prepared foods obtained by the swelling or  roasting of cereals product	India	Kg	41730	20908	4947
19042000	Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r	China	Kg	3581	198	58
19042000	Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r	India	Kg	11	1	0
19042000	Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r	Qatar	Kg	5	2	1
19042000	Prepared foods obtained from unroasted cer eal flakes or mixtures of unroasted & r	United Kingdom	Kg	1329	1068	320
19049010	Dhan ko Bhuja (Murhi)	Italy	Kg	360	92	14
19049020	Beaten Rice (Chiura)	India	Kg	68000	2866	430
19049090	Other prepared cereals in grain form (excl . maize) nes.	India	Kg	36032	7239	1716
19049090	Other prepared cereals in grain form (excl . maize) nes.	Malaysia	Kg	14358	4661	1396
19053100	Sweet biscuits	Bangladesh	Kg	380	161	132
19053100	Sweet biscuits	China	Kg	41299	12334	10043
19053100	Sweet biscuits	India	Kg	122121	24915	20140
19053100	Sweet biscuits	Malaysia	Kg	14127	7952	6515
19053100	Sweet biscuits	Thailand	Kg	25	12	10
19053100	Sweet biscuits	United Kingdom	Kg	16109	4670	3826
19053200	Waffles and wafers	India	Kg	83841	35228	28886
19053200	Waffles and wafers	Malaysia	Kg	6614	2574	2109
19053200	Waffles and wafers	Thailand	Kg	0	1	1
19053200	Waffles and wafers	Turkey	Kg	2	3	3
19054000	Rusks,toasted bread and similar toasted products	Bangladesh	Kg	22080	5682	4655
19054000	Rusks,toasted bread and similar toasted products	India	Kg	77426	14326	11555
19054000	Rusks,toasted bread and similar toasted products	Thailand	Kg	3000	271	222
19059010	Pizza	India	Kg	41	6	3
19059020	Kurkure, Kurmure, Lays, Cheeseballs	India	Kg	4	1	1
19059020	Kurkure, Kurmure, Lays, Cheeseballs	Korea, Republic of	Kg	1220	587	365
19059030	Papad	India	Kg	78480	16068	8475
19059040	Empty Cachets of a kind suitable for pharmaceuticals use	India	Kg	426	1242	13
19059050	Biscuits not specified elsewhere	China	Kg	11520	3500	2813
19059050	Biscuits not specified elsewhere	India	Kg	10	2	2
19059050	Biscuits not specified elsewhere	Saudi Arabia	Kg	0	1	1
