HSCode,Description,Unit,Quantity,Imports_Value,Imports_Revenue
62059000,"Men's or boys' shirts of other textiles ma  erials, nes",PCS,16025,6158,2167
62061000,"Women's or girls' blouses, shirts, shirt-b  ouse of silk or silk waste",PCS,211,40,14
62062000,"Women's or girls' blouses, shirts, shirt-b  ouse of wool or fine animal hair.",PCS,19105,5608,2055
62063000,"Women's or girls' blouses, shirts, shirt-b  ouse of cotton",PCS,5838,2019,784
62064000,"Women's or girls' blouses, shirts, shirt-b  ouse of man-made fibres",PCS,217,87,45
62069000,"Women's or girls' blouses, shirts, shirt-b  ouse of other textiles, nes",PCS,16662,5424,2081
62071100,Men's or boys' underpants and briefs of co  ton,PCS,2498,530,183
62071900,"Men's or boys' underpants and briefs of te  tile materials, nes",PCS,6859,504,180
62072100,Men's or boys' nightshirts and pyjamas of   otton,PCS,255,102,35
62072900,"Men's or boys' nightshirts and pyjamas of   extile materials, nes",PCS,27786,6282,2227
62079190,Other gowns and similar articles of cotton,PCS,5,278,99
62079990,Other gown and similar articles of other textile materials,PCS,408,83,30
62081900,"Women's or girls' slips and petticoats of   ther textiles materials, nes.",PCS,27797,886,306
62082100,Women's or girls' nightdresses and pyjamas  of cotton,PCS,3764,424,151
62082900,"Women's or girls' nightdresses and pyjamas  of textile materials, nes",PCS,115321,52037,18886
62089290,Other gowns and similar articles of man made fibre,PCS,48,5,2
62089910,Gowns of other textiles materials use for medical and surgical purposes,PCS,1177,137,25
62089990,"Women's or girls' dressing gowns, panties,  etc, of other textiles, nes",PCS,1528683,48577,17539
62092000,Babies' garments and clothing accessories   f cotton.,PCS,8058,2846,985
62093000,Babies' garments and clothing accessories   f synthetic fibres,PCS,887616,94800,35975
62099000,"Babies' garments and clothing accessories   f other textiles, nes",PCS,624796,55752,20038
62101010,Garments use in medical & surgical purposes made of fabric of heading 5602 or 5603,PCS,11381,3214,590
62101090,"Garments, made up of fabrics of 5602 or 5 6 3",PCS,84032,59,20
62102010,Other garments use in medical & surgical purpose of heading 62.01,PCS,10,211,39
62102090,Other garments of the type described in heading 62.01,PCS,1374,215,74
62103090,Â  Other garments type described in heading 62.02,PCS,14,81,29
62104010,Other men's or boy's garments used for medical & surgical purposes,PCS,53422,11673,2145
62104090,"Other men's or boys' garments made up of f  brics of 5903, 5906 or 5907",PCS,190364,65990,24092
62105090,"Other women's or girls' garments made up o   fabrics of 5903, 5906 or 5907",PCS,222521,70952,25519
62111100,Men's or boys' swimwear   .,PCS,6110,995,354
62111200,Women's or girls' swimwear   .,PCS,5194,1667,633
62112000,Ski suits  . .,PCS,1110,811,298
62113210,Aprons of cotton used for medical & surgical purpose for men's or boy's,PCS,10,2,0
62113220,Lungi and dhoti,PCS,50716,9774,979
62113290,"Other garments, men's or boys of cotton   .",PCS,995,121,42
62113390,Men's or boys' garments of man-made fibres   nes.,PCS,490,243,112
62113910,Aprons of other textiles materials use for medical and surgical purposes,PCS,151,19,4
62113990,"Men's or boys' garments of other textiles   aterials, nes",PCS,18822,17145,6119
62114210,"Aprons of cottons use for medical and surgical purpose, for women's or girl's",PCS,19,7,1
62114220,"Saree, Lungi & Dhoti",PCS,316546,138637,13917
62114290,"Other garments, women's or girls of cotton  .",PCS,5257,5971,2061
62114310,Apron of man made fibres (Use of Medical & Surgical Purpose),PCS,3,2,0
62114320,"Saree, lungi & dhoti",PCS,103872,59517,14768
62114390,"Other garments, women's or girls of manmad   fibres",PCS,1587,314,132
62114910,Apron of other textile materials,PCS,16208,1497,294
62114990,Other garments of other textiles material,PCS,59611,17696,5371
62121000,Brassieres   .,PCS,992686,41395,14884
62122000,Girdles and panty-girdles   .,PCS,110457,3335,1185
62129010,"Belt, knee cap, anklet, wrist band, waist band & similar articles",PCS,42970,5965,1115
62129090,"Corsets, braces, garters, suspenders and s  milar articles",PCS,33664,1380,493
62132000,Handkerchiefs of cotton   .,PCS,403721,5181,1885
62139000,"Handkerchiefs of other textiles, nes  . .",PCS,21800,1507,536
62141000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of silk or silk waste.",PCS,238746,5274,1841
62142000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of wool or fine animal hair",PCS,15863,1730,635
62143000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of synthetic fibres",PCS,8899,516,186
62144000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of artificial fibres",PCS,53053,6481,2316
62149000,"Shawls, scarves, mufflers, mantillas, veil  , etc, of other textiles materials, n",PCS,476497,28887,9911
62151000,"Ties, bow ties and cravats of silk or silk  waste",PCS,80216,3356,1252
62152000,"Ties, bow ties and cravats of man-made fib  es",PCS,12560,524,221
62159000,"Ties, bow ties and cravats of other textil  s materials, nes.",PCS,536,19,7
62160000,"Gloves, mittens and mitts   .",PCS,254118,11603,4235
62171000,"Other made up clothing accessories, nes",PCS,54115,2202,255
62179000,"Parts of garments or of clothing accessori  s, other than those of heading 6212,",PCS,21044,577,179
63011000,Electric blankets   .,PCS,1448,738,238
63012000,"Blankets (excl electric blankets) and tra v lling rugs, of wool or fine animal ha",PCS,16,3,1
63013000,"Blankets (excl electric blankets) and tra v lling rugs, of cotton",PCS,50,17,6
63014000,Blankets (excl electric blankets) & trave l ing rugs of synthetic fibres.,PCS,89354,54972,16239
63019000,"Other blankets and travelling rugs, nes   .",PCS,46044,21075,6284
63021010,"Bed linen, knitted or crocheted   .",PCS,105,6,2
63021090,"Bed linen, knitted or crocheted   .",PCS,2474,1032,306
63022110,Printed bed-linen of cotton (excl knitted   r crocheted).,PCS,621,227,66
63022190,Printed bed-linen of cotton (excl knitted   r crocheted).,PCS,23511,4127,1205
63022210,Printed bed-linen of man-made fibres (excl  knitted or crocheted),PCS,100,23,7
63022290,Printed bed-linen of man-made fibres (excl  knitted or crocheted),PCS,7380,2006,584
63022910,Printed bed-linen of other textiles (excl   nitted or crocheted).,PCS,4820,1168,340
63022990,Printed bed-linen of other textiles (excl   nitted or crocheted).,PCS,83277,11211,3647
63023910,"Bad linen of other textiles materials (exc   printed, knitted or crocheted)",PCS,2,2,0
63023990,"Bad linen of other textiles materials (exc   printed, knitted or crocheted)",PCS,3,0,0
63024000,"Table linen, knitted or crocheted   .",PCS,20,2,1
63025100,Table linen of cotton (excl knitted or cr o heted),PCS,58540,372,109
63025300,Table linen of man-made fibres (excl knit t d or crocheted),PCS,1200,24,7
63026000,"Toilet linen and kitchen linen, of terry f  brics, of cotton.",PCS,42824,6852,2000
63029100,"Toilet linen and kitchen linen of cotton,   es",PCS,166601,19125,6353
63029900,"Toilet linen and kitchen linen of other te  tiles materials, nes.",PCS,268566,1167,344
63031200,"Curtains, interior blinds, bed, valances o   synthetic fibres, knitted or crochet",PCS,6903,2152,633
63031900,"Curtains, interior blinds, bed, valances o   textile materials, knitted or croche",PCS,246,69,21
63039100,Curtains and interior blinds; curtain or b  d valances of cotton,PCS,434,130,39
63039200,Curtains and interior blinds; curtain/bed   alances of synthetic fibres,PCS,130516,36651,11
63039900,Curtains and interior blinds; curtain/bed   alances of other textiles materials,PCS,13396,4581,1481
63041100,Knitted or crocheted bedspreads   .,PCS,3140,273,82
63041900,Bedspreads (excl knitted or crocheted)   .,PCS,24126,5020,1509
63042000,"Bed nets, of warp knit fabrics",PCS,1297,188,57
63049100,"Knitted or crocheted furnishing articles,   es",PCS,320,2558,766
63049210,Cushion cover of cottion not knitted or croacheted,PCS,1455,440,128
63049290,Others of cotton not kintted or croacheted,PCS,14867,1261,389
63049310,Cushion cover of synthetic fibre,PCS,130,11,3
63049390,Other of synthetic fibre,PCS,12,3,1
63049910,Cushion cover of other textile materials,PCS,725,157,47
63049990,Others of other textile materials,PCS,4286,210,70
63051000,"Sacks and bags, used for packing goods, of  jute or of other textile bast fibres",Kg,1700,462,136
63052000,"Sacks and bags, used for packing goods, of  cotton",Kg,62,54,16
63053900,"Sacks and bags, used for packing goods, of  man-made textile fibres, nes.",Kg,287,264,79
63059000,"Sacks and bags, used for packing goods, of  other textiles, nes",Kg,12825,3171,926
63061200,"Tarpaulins, awnings and sunblinds, of synt  etic fibres",PCS,284,152,71
63061900,"Tarpaulins, awnings and sunblinds, of othe   textiles materials, nes.",PCS,3,15,7
63062200,Tents of synthetic fibres   .,PCS,4,537,252
63062900,"Tents of other textiles, (excl cotton or  synthetic fibres)",PCS,935,799,415
63063000,Sails  .,PCS,43,8,4
63069000,Other tents,PCS,43,182,82
63071000,"Floor-cloths, dish-cloths, dusters and sim  lar cleaning cloths.",PCS,205898,2533,625
63072000,Life-jackets and life-belts   .,PCS,5265,1045,244
63079010,"Cloth, cut into triangular shape in the fo  m to cover umbrella ribs.",PCS,24,17,4
63079020,Face mask,PCS,914841,2957,720
63079090,Others made up textile article,PCS,94934,2856,639
63090000,Worn clothing and other worn articles,Kg,12003,1661,78
63101000,"Used or new rags,scrap twine, cordage,rope  & cable&worn out article of twine etc",Kg,3520,250,0
63109000,"Used or new rags,scrap twine,cordage,rope&  able&worn out article of twine etc,no",Kg,7500,84,0
64019200,Waterproof footwear covering the ankle but  not the kneeÃ . [NPR],PAIR,2150,844,466
64019900,Other waterproof footwear (not covering th   ankle)[NPR] [NPR],PAIR,3386,4921,298
64021900,"Sport footwear, nes, of rubber or plastics   [NPR]",PAIR,299123,135531,80667
64022000,"Footwear with upper straps or thongs plugg  d into soles, of rubber or plasticsÃ . [NPR]",PAIR,15878,3171,1913
64029100,"Other footwear, covering the ankle of rubb  r or plasticsÃ  [NPR]",PAIR,910,249,147
64029900,"Other footwear, nes, not covering the ankl  , of rubber or plasticsÃ . [NPR]",PAIR,1442307,371019,220083
64031900,"Sports footwear, with rubber, plastics, le  thersoles, leather uppersÃ  [NPR]",PAIR,1729,1042,810
64032000,"Sandles, with leather soles and straps (ov  r instep, around big toe)Ã  [NPR]",PAIR,14765,41479,1754
64034000,"Other footwear, incorporating a protective  metal toe-capÃ  [NPR]",PAIR,1333,706,405
64035100,"Footwear with leather soles and uppers, co  ering the ankleÃ  [NPR]",PAIR,936,82,51
64035900,"Footwear with leather soles and uppers, no   covering the ankleÃ . [NPR]",PAIR,2,1,1
64039100,"Footwear with rubber soles and leather  upp rs, covering the ankleÃ  [NPR]",PAIR,4503,8542,4959
64039900,"Footwear with rubber soles, leather upp ers  not covering the ankleÃ . [NPR]",PAIR,19298,8597,5277
64041110,Canvas shoes having the upper parts of cot  onÃ  [NPR],PAIR,1,3,2
64041190,Sport footwear having the upper parts of o  her fabric other than cottonÃ  [NPR],PAIR,10320,2123,1225
64041900,"Sports footwear, with rubber or plastic so  es and textile uppersÃ  [NPR]",PAIR,98499,84517,45050
64042000,Footwear with outer soles of leather or co  position leatherÃ . [NPR],PAIR,360,95,56
64051000,"Footwear, nes, with leather or composition  leather uppersÃ  [NPR]",PAIR,27770,7336,4494
64052010,Other footware with uppers of cotton texti  e materialsÃ  [NPR],PAIR,12,0,0
64052091,Footwear of felt,PAIR,98,10,6
64059000,"Footwear, nes  Ã   [NPR]",PAIR,400523,169129,102091
64061000,"Uppers & parts of footwear, other than sti  feners",PR,667337,41977,12157
64062000,Outer soles and heels of rubber and plasti  s,PR,563589,47061,11054
64069000,Other shoe parts,PR,673375,18216,5394
65010000,"Hat-forms, hat bodies and hoods of felt; p  ateaux and manchons of felt",PCS,2396,189,56
65020000,"Hat-shapes, plaited or made by assembling   trips of any material",PCS,2,1,0
65040000,"Hats and other headgear, plaited or assemb  ed by strips of any material.",PCS,59097,1427,424
65050011,"Hats and other headgear, knitted or crochet d,or made up from lace, felt or other",Kg,787,216,40
65050019,Other hair nets,Kg,1,4,1
65050029,Hats of other,PCS,19448,271,81
65050030,Sun cap,PCS,3701,446,134
65050090,Other cap,PCS,775690,21260,5564
65061000,Safety headgear   .,PCS,39060,24244,7438
65069100,"Other headgear, of rubber or plastics   .",PCS,8752,428,127
65069900,"Other headgear of other materials, nes   .",PCS,143735,11835,3558
65070000,"Head-bands, linings, covers, hat foundatio  s, etc, for headgear.",Kg,5178,2092,632
66011000,Garden or similar umbrellas   .,PCS,6524,5988,3017
66019100,"Umbrellas and sun umbrellas, having a tele  copic shaft",PCS,98,43,13
66019900,"Umbrellas and sun umbrellas, nes  . .",PCS,157277,19621,5833
66020010,"Walking-sticks, seat-sticks, whips, riding  crops and the like",PCS,1328,155,0
66020090,"Walking-sticks, seat-sticks, whips, riding  crops and the like",PCS,3980,1872,348
67021000,"Artificial flowers, foliage and fruit and articles thereof of plastics",Kg,11615,4514,2275
67029010,"Artificial flowers, foliage, etc and artic  es thereof of other materials",Kg,57,21,11
67029090,"Artificial flowers, foliage, etc and artic  es thereof of other materials",Kg,3769,1141,563
67030000,"Human hair, dressed, etc; animal hair and   ther textile materials for wigs",Kg,228,8,3
67041100,Complete wigs of synthetic textile materia  s,Kg,312,11270,525
67041900,"False beards, eyebrows and eyelashes, etc,  of synthetic fibres.",Kg,29,47,17
67042000,"Wigs, false beards, eyebrows, etc and arti  les, nes, of human hair",Kg,188,65,23
67049000,"Wigs, false beards, eyebrows, etc, nes of   ther materials",Kg,728,195,82
68010000,"Setts, curbstones and flagstones, of natur  l stone (except slate)",Kg,35,6,2
68021000,"Tiles, cubes and similar articles, whether or not rectangular (including square), the",Kg,137,11,5
68022100,"Marble, travertine, alabaster, cut/sawn, w  th flat/even surface",Kg,111100,2758,1448
68022300,"Granite, cut/sawn, with flat/even surface",Kg,10308810,297842,162789
68022900,"Monumental/building stone, nes, cut/sawn,   ith flat/even surface",Kg,1485,172,93
68029100,"Marble, travertine and alabaster, worked  .",Kg,1392,131,69
68029300,Worked granite,Kg,1861845,53588,29284
68029900,"Monumental/building stone, nes, worked",Kg,1073,150,80
68041000,"Millstones and grindstones for milling, gr  nding or pulping",Kg,16673,1734,422
68042100,"Millstones, grindstones, etc, of agglomera  ed synthetic or natural diamond",Kg,3578,2671,559
68042200,"Millstones, grindstones, etc, of other agg  omerated abrasives or of ceramics",Kg,93052,30241,7337
68042300,"Millstones, grindstones, grinding wheels &  the like of natural stone",Kg,564,419,100
68043000,Hand sharpening or polishing stones   .,Kg,1482,232,56
68051000,"Natural or artificial abrasive powder/grai  , on  a base of woven textile fabric",Kg,2233,2549,759
68052000,"Natural or artificial abrasive powder/grai  , on paper/paperboard",Kg,19411,6171,1820
68053000,"Natural or artificial abrasive powder/grai  , on a base of materials, nes",Kg,3408,1186,352
68061000,"Slag wool, rock wool, etc (incl intermixt u es) in bulk, sheets or rolls.",Kg,40778,3357,737
68062000,"Exfoliated vermiculite, expanded clays, et   (incl intermixtures)",Kg,314,58,14
68069000,Mixtures and articles of heat/sound-insula  ing materials,Kg,35973,5073,1232
68071000,Articles of asphalt or of similar material   in rolls,Kg,23283,3277,949
68079000,Articles of asphalt or of similar material  (excl in rolls).,Kg,3350,325,96
68080090,"Other boards/pannelsmade of other binders,  nes.",SQM,1341,795,217
68091100,"Boards, sheets, tiles, of plaster, r einfor ed with paper or paperboard only.",SQM,483391,115305,32349
68091900,"Boards, sheets, tiles, of plaster or co mpo itions based on plaster, nes.",SQM,45951,7252,3074
68099000,"Articles of plaster or compositions based   n plaster, nes",Kg,37396,1415,386
68101110,"Building blocks and bricks, of cement or a  tificial stone or concrete",PCS,24777,2590,713
68109100,"Prefabricated structural components for bu  lding, etc, of cement",Kg,169,67,37
68109900,"Articles of cement, concrete or artificial  stone, nes",Kg,80,14,5
68118100,Corrugated sheets not containing asbestos,Kg,187373,5325,1452
68118200,"Other sheets, panels, tiles and similar ar  icles, not containing asbestos",Kg,2605387,69584,19995
68132010,Frictional material & articles there of co  taining asbestos,PCS,12778,13696,3749
68138100,"Brake linings and pads, not containing asb  stos",PCS,84002,25110,7733
68138900,"Othe friction material & article, not cont  ining asbestos",PCS,142,100,37
68149000,"Worked mica and articles of mica, nes",Kg,11,13,4
68159900,"Articles of stone or other mineral substan  es, nes.",Kg,172299,8454,1881
69010000,"Bricks, blocks, tiles of siliceous foss il  eals or earths",Kg,54440,752,113
69021000,"Refractory bricks, blocks, tiles, >50%  MgO  CaO, Cr2O3",Kg,17385,2060,501
69022000,"Refractory bricks, blocks, >50% silica  (Si 3) or alumina (Al2O3)",Kg,482376,33914,6795
69029000,"Refractory bricks, blocks, tiles, etc, nes",Kg,244529,8724,2032
69031000,"Containing, by weight, more than 50 % of free carbon",Kg,3755,1280,311
69032000,"Refractory ceramic goods, nes, >50% of alu  ina (Al2O3) or silica (SiO2).",Kg,8152,2599,516
69039000,"Other refractory ceramic goods, nes",Kg,69121,6466,1381
69041000,Ceramic building bricks,PCS,20,4,1
69049000,"Ceramic flooring blocks, support or filler  tiles and the like",Kg,40,6,3
69051000,Ceramic roofing tiles,Kg,362456,7969,2377
69072100,Of a water absorption coefficient by weight not exceeding 0.5 %,SQM,27929,17622,11400
69072200,Of a water absorption coefficient by weight exceeding 0.5 % but not exceeding 10 %,SQM,22016,13136,8498
69072300,Of a water absorption coefficient by weight exceeding 10 %,SQM,38560,16656,10775
69074000,Finishing Ceramics,SQM,1476762,739587,481804
69091100,"Ceramic wares for laboratory use, of po rce ain or china",PCS,110,3,1
69101000,"Ceramic sinks, wash basin, and other sa nit ry fixtures, of porcelain or china",PCS,77093,156772,46601
69109000,"Ceramic sinks, wash basins, baths and o the  sanitary fixtures, nes",PCS,23551,61641,18267
69111000,"Tableware and kitchenware, of porcelain or  china",PCS,379957,16694,5062
69119000,"Household and toilet articles, nes, of por  elain or china",PCS,55823,4794,1436
69120000,"Ceramic tableware, kitchenware, other hous  hold articles (excl porcelain or chin",PCS,239647,2693,793
69131000,Statuettes and other ornamental ceramic ar  icles of porcelain or china,PCS,68964,3772,1314
69139000,Statuettes and other ornamental articles (  xcl porcelain or china),PCS,18680,1608,475
69141000,"Ceramic articles, nes, of porcelain or chi  a",PCS,8456,3407,1021
69149000,"Ceramic articles, nes (excl porcelain or  c ina).",PCS,21310,1242,380
70022000,"Rods of glass, unworked",Kg,4630,560,136
70023100,"Tubes of fused quartz or other fused silic  , unworked",Kg,1,151,37
70023900,"Tubes of glass, unworked, nes",Kg,62590,7770,2327
70042000,"Unworked drawn/blown glass, coloured, opac  fied,flashed or with absorbant lay",SQM,1140,329,179
70049000,"Unworked drawn/blown glass (excl coloured , opacified, etc), nes.",SQM,51630,20619,11152
70051000,"Non-wired unworked sheets of float/ground/  olished glass, with absorbant layer",SQM,122751,111822,60664
70052900,"Non-wired unworked sheets of float/ground/  olished glass, nes",SQM,154752,70530,38261
70060000,"Glass of 7003, 7004 or 7005, bent, edge -wo ked, engraved, etc",Kg,6290,2830,1536
70071100,"Toughened (tempered) safety glass for use   n vehicles, aircraft, etc",Kg,17759,5412,2880
70071900,"Toughened (tempered) safety glass, nes",SQM,7085,5435,2922
70072100,"Laminated safety glass for vehicles, aircr  ft, spacecraft or vessels",Kg,5995,2065,1167
70072900,"Laminated safety glass, nes",SQM,116245,4467,2811
70080000,Multiple-walled insulating units of glass,PCS,199,1001,543
70091000,"Rear-view mirrors for vehicles, of glass  . .",PCS,227426,11854,6562
70099100,Unframed glass mirrors (excl rear-view fo r vehicles),PCS,24325,7747,4286
70099200,Framed glass mirrors (excl rear-view for  v hicles),PCS,38066,3212,1831
70101000,Glass ampoules,GRO,6112,1627,16
70109000,"Carboys, bottles, flasks, jar, pot, phials  etc of glass, nes",GRO,133205,275972,59475
70111000,"Open glass envelopes (incl bulbs and tube s , for electric lighting",PCS,25,0,0
70119000,"Open glass envelopes (incl bulbs and tube s , nes",PCS,4,34,10
70131000,"Glass-ceramic objects, used for table, kit  hen, toilet, office, indoor decoratio",PCS,6350,365,137
70132800,"Other stemware drinking glases, other than  of glass - ceramics.",PCS,166984,9592,3417
70133700,"Other drinking glasses, other than of glas   ceramics",PCS,431828,24463,8708
70134200,Glassware for table of glass having a line  r coefficient of expansion<=5x10-6 pe,PCS,240,142,51
70134900,Other - glassware of a kind used for table,PCS,664611,31765,11366
70139100,"Glassware for toilet, office, indoor decor  tions, etc, of lead crystal",PCS,27,51,18
70139900,"Other -  glassware, nes",PCS,209708,8817,2967
70151000,"Glasses for corrective spectacles, not opt  cally worked",PCS,175749,15202,2844
70159000,"Clock or watch glasses, glass for non-corr  ctive spectacles, etc, now",PCS,157,3,1
70161000,"Glass cubes and other glass smallwares, fo   decorative purposes",PCS,396,12,3
70169000,"Paving blocks, slabs, briks,tilesof gla ss, for building or construction purpos",PCS,6,0,0
70171000,"Laboratory, hygienic or pharmaceutical gla  sware, of fused quartz or other fused",Kg,33,93,12
70172000,"Laboratory, hygienic or pharmaceutical gla  sware, lce =<5x10-6/k",Kg,110,96,18
70179000,"Laboratory, hygienic or pharmaceutical gla  sware, nes",Kg,7827,3429,662
70181010,"Bangles,tika ,tikuli & beds",GRO,530857,66013,8632
70181020,Glass Beads,Kg,45947,25174,7785
70181090,other glass smallwares,Kg,82131,18380,5730
70182000,Glass microspheres =<1mm in diameter  .,Kg,400,92,30
70189010,"Glass statuettes and other ornaments of la  p-worked glass,  nes",PCS,8950,97,34
70189090,"Glass statuettes and other ornaments of la  p-worked glass,  nes",Kg,2839,365,130
70191100,"Chopped strands, of a length of not more than 50 mm",Kg,22938,6158,1496
70191200,Rovings,Kg,44,3,1
70191500,Chemically bonded mats,Kg,865,311,76
70191900,Other,Kg,51032,8116,1972
70196300,"Closed woven fabrics, plain weave, of yarns, not coated or laminated",Kg,3,0,0
70198000,Glass wool and articles of glass wool,Kg,40745,9448,2295
70199000,Other,Kg,7579,1529,339
70200000,"Other articles of glass, nes  .",PCS,16914,425,152
71022100,"Industrial diamonds unworked or simply saw  , cleaved or brutedÃ . [CAR]",CAR,510,15667,157
71051000,Dust and powder of diamonds  Ã Ã   [CAR],CAR,1,2,0
71061000,Powder of silver,GRM,760000,75492,8133
71069100,Unwrought silver (incl silver plated with   old or platinum),GRM,320000,29468,3425
71069200,Silver,GRM,810005,76491,8668
71081200,"Other unwrought gold (incl gold plated wi t  platinum), non-monetary.",GRM,55798,1096924,53351
71081300,Gold,GRM,206000,1482742,175100
71131910,"Jewellery of Gold, including parts",GRM,3346,55291,1591
71159000,Articles of metal clad with precious metal   nes,GRM,28,598,145
71161000,Articles of natural or cultured pearls,GRM,10,4,1
71162000,Articles of precious or semi-precious ston  s (excl pearls).,GRM,38030,58,16
71171100,Cuff-links and studs of base metal (incl  p ated),Kg,20,1,0
71171900,"Imitation jewellery of base metal (incl p l ted), nes",Kg,44110,27457,10513
71179000,Imitation jewellery (excl of base metal)  n s,Kg,8010,9251,3617
71189000,Coin of legal tender  .,Kg,383305,207511,1
72011000,"Non-alloy pig iron containing, =<05% phos p orus, in pigs, blocks or other primer",Kg,2410600,226019,29384
72022100,"Ferro-silicon, containing by weight >55% o   silicon",Kg,12320,3411,578
72023000,Ferro-silico-manganese,Kg,1561000,209456,31765
72031000,"Ferrous products obtained by direct reduct  on of iron ore,in lumps,pellets or si",Kg,54931360,3241367,458011
72044100,"Turnings, shavings, chips,milling waste,sa  dust,filings,trimming of iron or st",Kg,80,75,14
72052900,"Powders of pig iron, spiegeleisen, iron or  steel (excl alloy steel).",Kg,1000,138,26
72071200,"Semi-finished products of iron/steel, <02 5  carbon, of rectangular section",Kg,80,134,25
72071900,"Semi-finished products of iron or non-allo   steel, <025% carbon, nes",Kg,44606252,3660166,848704
72072000,"Semi-finished products of iron or non-allo   steel, >=025% carbon",Kg,2074,902,176
72081000,"Flat/hot-rolled iron/steel,in coils, width  >=600mm, with patterns in relief.",Kg,427660,57934,10805
72082500,"Flat/hot-rolled iron/steel,in coils, width  >=600mm, pickled, >=475 mm thick.",Kg,7495,1085,200
72082600,"Flat/hot-rolled iron/steel,in coils, width  =600mm, pickled,>=3 mm but< 475 mm th",Kg,620,62,12
72083900,"Flat/hot-rolled iron/steel,in colis, width  >=600mm, not pickled,<3mm thickness",Kg,8343837,796483,146294
72085100,"Flat/hot-rolled iron/steel,not in coils, w  dth >=600mm, > 10mm thickness",Kg,63934,7516,1250
72085400,"Flat/hot-rolled iron/steel,not in coils, w  dth >=600mm, <3mm thickness",Kg,1577,910,170
72089000,"Flat/hot-rolled iron/steel, width >=600mm   es (inclfurther worked than hot-rolle",Kg,2040,298,55
72101100,"Flat-rolled iron/steel, width >=600mm, >=   5mm thickness,clad,plated or coated w",Kg,2411,482,90
72101200,"Flat-rolled iron/steel, width >=600mm, <0 5 m thickness, clad, plated or coated w",Kg,616809,112531,419
72102000,"Flat-rolled iron/steel, width >=600mm, pla  ed or coated with lead, including ter",Kg,210,53,25
72103000,"Flat-rolled iron/steel, width >=600mm, ele  trolytically-plated or coated with zi",Kg,675,402,182
72104100,"Flat-rolled iron/steel,width >=600mm, plat  dwith zinc,(exclelectro-plated)cor",Kg,2500,347,170
72104900,"Flat-rolled iron/steel,width >=600mm, plat  d or coated with zinc(exclelectro-pla",Kg,803,550,258
72106100,"Rolled iron/steel, width >=600mm, plated o   coated with aluminium-zinc alloys",Kg,170,135,0
72107000,"Rolled iron/steel, width >=600mm, painted,  varnished or coated with plastics",Kg,161556,30431,11883
72109000,"Rolled iron/steel, width >=600mm, otherwis   clad,plated or coated nes",Kg,27007,4265,2000
72111900,"Flat/hot-rolled iron or non-alloy steel, w  dth <600mm, <475mm thick,not clad,",Kg,2786460,259599,74966
72112300,"Flat/cold-rolled iron/steel, width <600mm,  containing by weight < 025% carbon",Kg,19948,2550,1365
72112900,"Flat/cold-rolled iron/steel, width <600mm,  containing by weight >=025% carbon",Kg,200,75,37
72119000,"Flat-rolled iron or non-alloy steel, width  <600mm, nes (inclfurther worked than",Kg,35,2,1
72121000,"Flat-rolled iron or non-alloy steel, width  <600mm, plated or coated with tin",Kg,400,63,15
72123000,"Flat-rolled iron/steel, width <600mm, plat  d or coated with zinc (excl electro-p",Kg,89729,12769,4985
72124000,"Flat-rolled iron/steel, width <600mm, pain  ed, varnished or coated with plastics",Kg,68502,12235,5739
72125000,"Flat-rolled iron or non-alloy steel, width  <600mm, plated or coated, nes",Kg,287,60,28
72131000,"Hot-rolled iron/steel bars & rods, in coil  , cont'g deformations produced by rol",Kg,1,16,7
72139110,"Bar & rods, hot-rolled circular cross-sect  on measuring <=8mm in diameter",Kg,333440,33358,9613
72141000,"Iron or non-alloy steel bars and rods, for  ed,.",Kg,2431,368,180
72142000,"Iron/steel bars & rods, hot-rolled,twis ted  or with deformations from rolling",Kg,228329,47226,0
72143000,"Bars and rods of free-cutting steel, hot-r  lled,hot-drawn or hot-extruded, ne",Kg,104915,13926,0
72149910,"Re-rollable bar & rod length >=1800mm, wid  h 60mm & >=5mm thickness.",Kg,30070,2786,919
72149990,"Other re-rollable bar & rod, nes  .",Kg,43,6,3
72151000,"Bars and rods of free-cutting steel, not f  rther worked than cold-formed/cold-fi",Kg,2437,337,165
72155000,"Bars and rods of iron/steel, not further w  rked than cold-formed or cold-finishe",Kg,2000,266,130
72159000,"Other bars&rods of iron/steel, nes (incl  f rther worked than cold-formed/cold fi",Kg,989,616,290
72161000,"U, I or H sections of iron/steel, hot-roll  d, <80mm high",Kg,10455,1403,391
72162100,"L sections of iron/steel, hot-rolled, < 80m  high",Kg,60,5,3
72163100,"U sections of iron/steel, hot-rolled, > =80 m high",Kg,829455,77256,23413
72163200,"I sections of iron/steel, hot-rolled, > =80 m high",Kg,734885,66874,20401
72163300,"H sections of iron/steel, hot-rolled, > =80 m high",Kg,391609,51526,22693
72164000,"L or T sections of iron/steel, hot-rolled , >=80mm high.",Kg,912,232,113
72165000,"Angles, shapes and sections of iron/steel,  not further worked than hot-rolled,",Kg,647130,58712,17131
72169100,"Anglessections of iron/steel,cold-forme d/f nished from flat-rolled products ne",Kg,3,7,6
72169900,"Angles, shapes and sections of iron or non  alloy steel, nes",Kg,9350,1487,404
